coral_id,block,treatment,crab,nutrients,coral_vol_cm3,tissue_loss_5_percent,tissue_loss_binary,tbiden_1_month,tbiden_13_month,gmono_abundance,gmono_density_per_1000cm3,dflav_abundance,dflav_density_per_1000cm3
1,1,Control,N,N,4192.978994991177,0,0,0,0,39,9.301262907967908,1,0.23849392071712588
2,1,Crab,Y,N,3686.135380212024,0,0,2,0,2,0.5425736696314614,4,1.0851473392629227
3,1,Nutrient,N,Y,6681.120376634293,0,0,0,1,52,7.7831257436788945,13,1.9457814359197236
4,1,Both,Y,Y,4904.549731029264,0,0,2,2,7,1.4272462068665754,18,3.6700616747997654
5,2,Control,N,N,5309.29158456675,0,0,0,0,5,0.9417452253958304,6,1.1300942704749966
6,2,Nutrient,N,Y,4948.008429403923,0,0,0,0,3,0.6063045451119824,15,3.0315227255599115
7,2,Crab,Y,N,6681.120376634292,0,0,1,0,27,4.0412383669101954,17,2.544483416202716
8,2,Both,Y,Y,3298.6722862692823,0,0,2,0,3,0.9094568176679735,13,3.9409795432278854
9,3,Crab,Y,N,2345.722514680379,0,0,2,0,1,0.42630788328186253,4,1.7052315331274501
10,3,Both,Y,Y,3362.551336892275,0,0,1,2,3,0.8921796872171026,18,5.353078123302616
11,3,Nutrient,N,Y,5670.574739729576,5,1,0,0,34,5.9958648921046445,8,1.41079173931874
12,3,Control,N,N,6135.5304524608655,0,0,0,0,12,1.955821113264459,2,0.32597018554407653
13,4,Both,Y,Y,6199.409503083858,0,0,3,3,5,0.8065284278305508,10,1.6130568556611016
14,4,Nutrient,N,Y,4347.440633792676,0,0,0,0,22,5.060448630165045,15,3.4503058842034395
15,4,Control,N,N,3133.21507318022,35,1,0,0,8,2.5532878570892303,1,0.3191609821361538
16,4,Crab,Y,N,8063.421144213802,0,0,1,0,28,3.472471485641353,13,1.612218904047771
17,5,Control,N,N,7225.663103256523,0,0,1,0,65,8.995714174759303,16,2.214329643017675
18,5,Crab,Y,N,1507.9644737231006,0,0,2,0,1,0.6631455962162306,3,1.989436788648692
19,5,Both,Y,Y,5969.026041820606,0,0,1,1,27,4.52335101419071,8,1.340252152352803
20,5,Nutrient,N,Y,2419.026343264141,0,0,0,0,6,2.480336775458109,8,3.307115700610812
21,6,Crab,Y,N,3769.9111843077517,0,0,2,0,18,4.7746482927568605,0,0
22,6,Control,N,N,3481.931857728687,0,0,0,0,8,2.2975751183190907,1,0.28719688978988633
23,6,Both,Y,Y,6135.5304524608655,0,0,2,1,10,1.6298509277203825,13,2.1188062060364974
24,6,Nutrient,N,Y,2450.4422698000385,0,0,0,0,58,23.66919666494854,9,3.6728063790437386
26,7,Control,N,N,2010.6192982974676,0,0,0,0,4,1.9894367886486917,0,0
27,7,Crab,Y,N,3750.5380296106146,0,0,2,2,25,6.665710306794444,7,1.8663988859024443
28,7,Both,Y,Y,4319.689898685965,0,0,2,2,11,2.5464790894703255,12,2.777977188513083
29,8,Crab,Y,N,4397.182517474514,5,1,1,0,11,2.5016018680793266,7,1.5919284615050262
30,8,Both,Y,Y,2827.4333882308138,0,0,2,0,6,2.1220659078919377,6,2.1220659078919377
31,8,Nutrient,N,Y,4054.748918233226,0,0,0,0,40,9.864975811481116,10,2.466243952870279
32,8,Control,N,N,3049.4392690844925,0,0,0,0,1,0.3279291409860481,2,0.6558582819720962
33,9,Crab,Y,N,5629.734035232909,0,0,2,0,47,8.348529380936474,2,0.3552565694015521
34,9,Nutrient,N,Y,2580.294766148417,80,1,0,0,9,3.487973590487966,1,0.38755262116532957
35,9,Control,N,N,3635.869897754587,0,0,0,0,28,7.701045633478808,0,0
36,9,Both,Y,Y,4607.669225265029,5,1,1,0,12,2.604353614231015,6,1.3021768071155075
37,10,Both,Y,Y,3958.406743523139,0,0,2,3,14,3.53677651315323,0,0
38,10,Control,N,N,4071.5040790523713,0,0,0,0,33,8.10511284264282,11,2.7017042808809397
39,10,Nutrient,N,Y,2990.796206217483,0,0,0,0,9,3.0092321172837355,15,5.015386862139559
40,10,Crab,Y,N,4655.840312620073,50,1,0,0,12,2.577407985293852,2,0.42956799754897534
25,7,Nutrient,N,Y,2111.150263212341,100,1,0,0,0,0,0,0
