taxa_group,abundance
Palaemonidae,1427
hermit,934
Muricidae,758
Alpheidae,412
Pomacentridae,320
Trapeziidae,320
Dialidae,228
Galatheidae,205
Gobiidae,196
worm,193
Rissoinidae,182
amphipod,138
Columbellidae,106
Xanthidae,55
brittle,47
Haminoeidae,43
Cerithiidae,37
Trochidae,32
bivalve,31
Mitridae,29
tanaid,25
Echinometridae,18
Costellariidae,12
limpet,11
Labridae,9
Triphoridae,8
Bullidae,6
Tetraliidae,5
Cystiscidae,4
Eulimidae,4
Rissoidae,4
Epialtidae,3
Hippolytidae,3
Pilumnidae,3
Buccinidae,2
Cryptochiridae,2
Disciadidae,2
Mangeliidae,2
Megalopidae,2
Mitromorphidae,2
Planaxidae,2
Prodotiidae,2
Spongicolidae,2
Aristeidae,1
Asterinidae,1
Chilodontidae,1
Cingulopsidae,1
Cirrhitidae,1
Cypraeidae,1
Leucosiidae,1
Lironobidae,1
Personidae,1
Portunidae,1
Pyramidellidae,1
Raphitomidae,1
Stenopodidae,1
Zebinidae,1
